Price,Brand,Model,Power,Efficiency,Link
161.45,Athena,Apollo 600 Plus,600,80+ Bronze,https://amazon.com/dp/B073JXZSCM?tag=pcbuilder00-20
167.09,Athena,MF 50P,500,80+ Silver,https://amazon.com/dp/B073JXM2K2?tag=pcbuilder00-20
46.99,Athena Power,AP-MP4ATX30,300,80+,https://amazon.com/dp/B002DBSRIQ?tag=pcbuilder00-20
38.99,Athena Power,AP-MTFX30,300,,https://amazon.com/dp/B00634R3I4?tag=pcbuilder00-20
59,AZZA,PSAZ-650W(ARGB),650,80+ Bronze,https://amazon.com/dp/B084RWV5R8?tag=pcbuilder00-20
146,B002RL24KY,LC6560GP3 V2.3,560,80+ Silver,https://amazon.com/dp/B002RL24KY?tag=pcbuilder00-20
95.49,be quiet!,BN320,300,80+ Bronze,https://amazon.com/dp/B0937GNL7W?tag=pcbuilder00-20
93.58,be quiet!,System Power 9,400,80+ Bronze,https://amazon.com/dp/B079KG3TZ5?tag=pcbuilder00-20
107.97,be quiet!,BN300,400,80+ Bronze,https://amazon.com/dp/B07V2D48JF?tag=pcbuilder00-20
97.81,be quiet!,BN321,450,80+ Bronze,https://amazon.com/dp/B0937H4WJW?tag=pcbuilder00-20
126.45,be quiet!,BN326,450,80+ Bronze,https://amazon.com/dp/B0BJVKGCDP?tag=pcbuilder00-20
120,be quiet!,Netzteil,500,80+ Bronze,https://amazon.com/dp/B079KBPXZJ?tag=pcbuilder00-20
183,be quiet!,System Power 9,500,80+ Bronze,https://amazon.com/dp/B07V8RNCH6?tag=pcbuilder00-20
91.39,be quiet!,BN327,550,80+ Bronze,https://amazon.com/dp/B0BJVMJ887?tag=pcbuilder00-20
151,be quiet!,BN302,600,80+ Bronze,https://amazon.com/dp/B07V5MHC17?tag=pcbuilder00-20
103.66,be quiet!,BN328,650,80+ Bronze,https://amazon.com/dp/B0BJVL2PWD?tag=pcbuilder00-20
109.99,be quiet!,BN329,750,80+ Bronze,https://amazon.com/dp/B0BJVPWRXY?tag=pcbuilder00-20
109.7,be quiet!,BN323,300,80+ Gold,https://amazon.com/dp/B0937HPKFT?tag=pcbuilder00-20
90.77,be quiet!,Pure Power 11,400,80+ Gold,https://amazon.com/dp/B07JJKPNRH?tag=pcbuilder00-20
126.36,be quiet!,BN280,450,80+ Gold,https://amazon.com/dp/B078X22YBS?tag=pcbuilder00-20
69.9,be quiet!,Pure Power 11,500,80+ Gold,https://amazon.com/dp/B07PL3LH4P?tag=pcbuilder00-20
133.69,be quiet!,BN238,500,80+ Gold,https://amazon.com/dp/B07MCGSFN9?tag=pcbuilder00-20
176,be quiet!,Pure Power 11,500,80+ Gold,https://amazon.com/dp/B07JHLD38L?tag=pcbuilder00-20
94.9,be quiet!,BN502,550,80+ Gold,https://amazon.com/dp/B0BVXTHGGN?tag=pcbuilder00-20
103,be quiet!,BN670,550,80+ Gold,https://amazon.com/dp/B0948R8MZB?tag=pcbuilder00-20
109.9,be quiet!,Straight Power 11,550,80+ Gold,https://amazon.com/dp/B07CX3225B?tag=pcbuilder00-20
79.9,be quiet!,Pure Power 11,600,80+ Gold,https://amazon.com/dp/B07PL3LH5D?tag=pcbuilder00-20
95.66,be quiet!,Pure Power 11,600,80+ Gold,https://amazon.com/dp/B07PL3TWG6?tag=pcbuilder00-20
114.73,be quiet!,BN294,600,80+ Gold,https://amazon.com/dp/B07JJL3QRG?tag=pcbuilder00-20
118.22,be quiet!,System Power 9,600,80+ Gold,https://amazon.com/dp/B079K5YY31?tag=pcbuilder00-20
175.49,be quiet!,BN239,600,80+ Gold,https://amazon.com/dp/B07MT3VFMB?tag=pcbuilder00-20
104.9,be quiet!,BN503,650,80+ Gold,https://amazon.com/dp/B0BVYGNLM7?tag=pcbuilder00-20
107.99,be quiet!,Pure Power 11 FM,650,80+ Gold,https://amazon.com/dp/B0948R8Y9F?tag=pcbuilder00-20
