Title,Price,Brand,Model,Link
"be quiet! Dark Rock Pro TR4, BK023, 250W TDP, for AMD TR4 Only, CPU Cooler",89.9,be quiet!,Dark Rock Pro TR4,https://amazon.com/dp/B07J589GHF?tag=pcbuilder00-20
be quiet! Pure Loop 120mm All-in-One Water Cooling System,89.9,be quiet!,Pure Loop,https://amazon.com/dp/B08K3PLQJC?tag=pcbuilder00-20
"Noctua NH-D15S, Premium Dual-Tower CPU Cooler with NF-A15 PWM 140mm Fan (Brown)",89.95,Noctua,NH-D15S,https://amazon.com/dp/B00XUVGLEU?tag=pcbuilder00-20
"Noctua NH-U14S TR4-SP3, Premium-Grade CPU Cooler for AMD sTRX4/TR4/SP3 (140mm, Brown)",89.95,Noctua,NH U14S,https://amazon.com/dp/B074DX2SX7?tag=pcbuilder00-20
"Noctua NH-D12L, Low-Height Dual-Tower CPU Cooler (120mm, Brown)",89.95,Noctua,NH-D12L,https://amazon.com/dp/B09TB5KJ5V?tag=pcbuilder00-20
NZXT Kraken 120 - RL-KR120-B1 - AIO RGB CPU Liquid Cooler - Quiet and Effective - Silent Operation - Ring RGB LEDs - Aer P 120mm Radiator Fans (Included),89.99,NZXT,Kraken 120,https://amazon.com/dp/B09GKQ4KYP?tag=pcbuilder00-20
Corsair A500 High Performance Dual Fan CPU Cooler,89.99,Corsair,A500,https://amazon.com/dp/B0829SLJSF?tag=pcbuilder00-20
"MSI MAG CORELIQUID 240R V2 Liquid CPU Cooler '240mm Radiator, 2X 120mm ARGB PWM Fan, ARGB Lighting, MSI Center Supported, Compatible with Intel and AMD Platforms, Latest LGA 1700 Ready'",89.99,MSI,MAG CORELIQUID 240R V2,https://amazon.com/dp/B09CQDBFPC?tag=pcbuilder00-20
"DEEPCOOL Assassin III Air CPU Cooler, 7 Heatpipes, Dual 140mm Fans, 54mm RAM Clearance, 280W TDP, New Sinter Heatpipe Technology",89.99,DEEP COOL,Assassin III,https://amazon.com/dp/B07T4FNXWD?tag=pcbuilder00-20
"Thermalright 100700418 Silver Arrow TR4 Multiple Heatpipe Cooler for AMD TR4 ThreadRipper CPU, 1 x TY 143 (600-2,500 RPM, 21-45 dB(A), 54-221 m3/h)",89.99,Thermalright,Silver Arrow TR4,https://amazon.com/dp/B07FFT9YSN?tag=pcbuilder00-20
DeepCool LS520 SE Liquid Cooler 240mm 4th Gen Dual-Chamber Pump 3100RPM 280w,89.99,DeepCool,R-LS520-BKAMMM-G-1,https://amazon.com/dp/B0BLYQPPFK?tag=pcbuilder00-20
"RAIJINTEK Orcus RGB Rainbow All in One - 140mm Water Cooling Kits, Systems and AIOs",89.99,Raijintek,0R10B00090,https://amazon.com/dp/B07JG7LN2T?tag=pcbuilder00-20
"DEEPCOOL Castle 360EX, Addressable RGB AIO Liquid CPU Cooler, Anti-Leak Technology Inside, Cable Controller and 5V ADD RGB 3-Pin Motherboard Control, TR4/AM4 Supported, 3-Year Warranty",90.99,DEEP COOL,CASTLE 360EX,https://amazon.com/dp/B07TYM5T17?tag=pcbuilder00-20
SilverStone Technology PF240-ARGB Permafrost 240mm All in One Multi-Chamber Addressable RGB CPU Liquid Cooler Supports Intel/AMD,92.25,SilverStone Technology,F240 ARGB,https://amazon.com/dp/B07YP5PYKW?tag=pcbuilder00-20
