Price,Brand,Model,Cabinet Type,Link
349.9,Anidees,AI Crystal XL,ATX Full Tower,https://amazon.com/dp/B081M3RGG8?tag=pcbuilder00-20
365.04,Corsair,CC-9011226-WW,ATX Full Tower,https://amazon.com/dp/B09444T1R6?tag=pcbuilder00-20
369.99,AZZA,CSAZ-811,ATX Full Tower,https://amazon.com/dp/B0CHVDTRZP?tag=pcbuilder00-20
378,Lian Li,V3000PW,ATX Full Tower,https://amazon.com/dp/B0C137TW8F?tag=pcbuilder00-20
378,Lian Li,V3000PX,ATX Full Tower,https://amazon.com/dp/B0BN3TZR5G?tag=pcbuilder00-20
399.99,Thermaltake,Core W100,ATX Full Tower,https://amazon.com/dp/B01C71Q8WS?tag=pcbuilder00-20
403.69,Lian Li,PC-O11 Air,ATX Full Tower,https://amazon.com/dp/B07FJ6PMKW?tag=pcbuilder00-20
422.9,Thermaltake,View 71 TG,ATX Full Tower,https://amazon.com/dp/B07JVTNWBZ?tag=pcbuilder00-20
469.99,Cooler Master,Cosmos C700P,ATX Full Tower,https://amazon.com/dp/B07SCPVKFF?tag=pcbuilder00-20
499.99,Cooler Master,MCC-C700M-KHNN-S30,ATX Full Tower,https://amazon.com/dp/B0BYZZD54G?tag=pcbuilder00-20
499.99,Thermaltake,View 91 RGB,ATX Full Tower,https://amazon.com/dp/B079FZ77DB?tag=pcbuilder00-20
549.99,Thermaltake,Core W200,ATX Full Tower,https://amazon.com/dp/B01EGBZA1C?tag=pcbuilder00-20
599.99,Cooler Master,Cosmos C700M,ATX Full Tower,https://amazon.com/dp/B07H6MKSXZ?tag=pcbuilder00-20
641.95,Jonsplus,CSAZ-811,ATX Full Tower,https://amazon.com/dp/B09Y3HTGT6?tag=pcbuilder00-20
699.92,Jonsplus,Gemini X,ATX Full Tower,https://amazon.com/dp/B0BK5FWPCX?tag=pcbuilder00-20
995,Cooler Master,H700E-IGNN-S00,ATX Full Tower,https://amazon.com/dp/B09RVWCLRF?tag=pcbuilder00-20
999.99,Thermaltake,Level 20,ATX Full Tower,https://amazon.com/dp/B07HHN6KCS?tag=pcbuilder00-20
999.99,SilverStone Technology,SST-ALF2B-G,ATX Full Tower,https://amazon.com/dp/B0C5LF52TL?tag=pcbuilder00-20
47.3,MSI,MAG FORGE 100M,ATX Mid Tower,https://amazon.com/dp/B07YQ724L8?tag=pcbuilder00-20
