Price,Brand,Model,Ram size,Quantity,Ram type,Ram speed,CAS latency,Link
26.6,G.Skill,Aegis,4,1,DDR4,2133,15,https://amazon.com/dp/B01AIZOEDU?tag=pcbuilder00-20
26.61,Mushkin,Essentials,8,1,DDR4,2133,15,https://amazon.com/dp/B013K7SSPI?tag=pcbuilder00-20
26.7,SAMSUNG,M378A1G43DB0-CPB,8,1,DDR4,2133,15,https://amazon.com/dp/B00R7PY49O?tag=pcbuilder00-20
26.79,G.Skill,Ripjaws X,4,2,DDR3,1600,9,https://amazon.com/dp/B004I75J3O?tag=pcbuilder00-20
26.8,Corsair,Vengeance LPX,4,1,DDR4,2400,16,https://amazon.com/dp/B01ARGXM0Q?tag=pcbuilder00-20
26.98,Crucial,CT8G4DFRA266,8,1,DDR4,2666,19,https://amazon.com/dp/B08C4QF5N4?tag=pcbuilder00-20
26.99,G.Skill,Ripjaws V,8,1,DDR4,2666,19,https://amazon.com/dp/B07R2KB3LG?tag=pcbuilder00-20
26.99,G.Skill,Ripjaws X,8,1,DDR3,1600,10,https://amazon.com/dp/B0065HOT2W?tag=pcbuilder00-20
27.7,SAMSUNG,AMZ: M393A1G43DB0-CPB0,8,1,DDR4,2133,15,https://amazon.com/dp/B00UIZH1C2?tag=pcbuilder00-20
27.75,HyperX,HyperX Fury Black,4,1,DDR3,1866,10,https://amazon.com/dp/B00J8E8Z06?tag=pcbuilder00-20
27.99,Patriot Memory,Viper Steel,8,1,DDR4,3200,16,https://amazon.com/dp/B07N3XZ97B?tag=pcbuilder00-20
27.99,Patriot Memory,PVE2416G266C6,16,1,DDR4,2666,16,https://amazon.com/dp/B0957YPRDM?tag=pcbuilder00-20
27.99,Patriot Memory,PVS416G240C5S,16,1,DDR4,2400,18,https://amazon.com/dp/B07QQWDXXJ?tag=pcbuilder00-20
27.99,Patriot Memory,PSD48G2133K,8,2,DDR4,2133,15,https://amazon.com/dp/B00OQY10L4?tag=pcbuilder00-20
27.99,TEAMGROUP,Elite 16,16,2,DDR3,1600,11,https://amazon.com/dp/B00FAY0S08?tag=pcbuilder00-20
27.99,Patriot Memory,Patriot Signature DD3,8,1,DDR3,1600,11,https://amazon.com/dp/B007URNIBE?tag=pcbuilder00-20
27.99,Crucial,CT2CP25664BA1339,4,2,DDR3,1333,9,https://amazon.com/dp/B001R4BT1M?tag=pcbuilder00-20
28,Crucial,CT102464BD160B,8,1,DDR3,1600,11,https://amazon.com/dp/B008KSHQBU?tag=pcbuilder00-20
28.35,Kingston,KVR13N9S8/4,4,1,DDR3,1333,9,https://amazon.com/dp/B008CP5Q7M?tag=pcbuilder00-20
28.45,Crucial,CT8G4SFS824A,8,1,DDR4,2400,17,https://amazon.com/dp/B01BIWKP58?tag=pcbuilder00-20
28.52,HyperX,HX426C16FB2/8,8,1,DDR4,2666,16,https://amazon.com/dp/B06XNRXCV6?tag=pcbuilder00-20
28.76,G.Skill,AEGIS,4,1,DDR3,1333,9,https://amazon.com/dp/B00GJ3HPAU?tag=pcbuilder00-20
28.99,Crucial,CT16G4DFRA32A,16,1,DDR4,3200,22,https://amazon.com/dp/B08C56GZGK?tag=pcbuilder00-20
28.99,Patriot Memory,PVE2416G320C8,16,1,DDR4,3200,18,https://amazon.com/dp/B0957XCGM6?tag=pcbuilder00-20
28.99,Patriot Memory,Patriot Signature,16,1,DDR4,3200,22,https://amazon.com/dp/B0887YYWNK?tag=pcbuilder00-20
28.99,Patriot Memory,PSD416G320081,16,1,DDR4,3200,22,https://amazon.com/dp/B0887XY12C?tag=pcbuilder00-20
28.99,Patriot,PSD416G266681S,16,1,DDR4,2666,19,https://amazon.com/dp/B08B18K94D?tag=pcbuilder00-20
28.99,Crucial,CT2K4G4DFS824A,8,2,DDR4,2400,17,https://amazon.com/dp/B019FRCY2U?tag=pcbuilder00-20
28.99,Crucial,CT8G4DFS824A,8,1,DDR4,2400,17,https://amazon.com/dp/B01BIWK9OK?tag=pcbuilder00-20
28.99,G.Skill,Ripjaws X,8,1,DDR3,1600,9,https://amazon.com/dp/B007C7BEG8?tag=pcbuilder00-20
28.99,Timetec,MT8JTF51264AZ-1G6E1,4,1,DDR3,1600,11,https://amazon.com/dp/B00RY1JBEY?tag=pcbuilder00-20
28.99,IBM,00D4968,16,1,DDR3,1600,11,https://amazon.com/dp/B007TYHWI8?tag=pcbuilder00-20
29.16,G.Skill,F3-1600C11S-8GNT,8,1,DDR3,1600,11,https://amazon.com/dp/B009V55V68?tag=pcbuilder00-20
29.4,SAMSUNG,M393B2G70DB0-CK0,16,1,DDR3,1600,11,https://amazon.com/dp/B014Q1O16C?tag=pcbuilder00-20
29.41,Kingston,ValueRAM,8,1,DDR4,2666,19,https://amazon.com/dp/B072QYHKLR?tag=pcbuilder00-20
29.51,G.Skill,Aegis,8,1,DDR4,2400,15,https://amazon.com/dp/B01CBYMSRA?tag=pcbuilder00-20
29.59,ADATA,AX4U36008G18I-CBKD45,8,1,DDR4,3600,18,https://amazon.com/dp/B09JVD1T3G?tag=pcbuilder00-20
29.99,Crucial,CT2K8G4DFRA32A,16,2,DDR4,3200,22,https://amazon.com/dp/B08C53LL9J?tag=pcbuilder00-20
29.99,Corsair,ValueSelect,8,1,DDR4,2666,18,https://amazon.com/dp/B075H73MVW?tag=pcbuilder00-20
29.99,Corsair,ValueSelect,4,1,DDR4,2400,16,https://amazon.com/dp/B072LRMXGN?tag=pcbuilder00-20
29.99,Corsair,Vengeance,4,1,DDR3,1600,9,https://amazon.com/dp/B004RFGALC?tag=pcbuilder00-20
29.99,Crucial,CT8G3S1339M,8,1,DDR3,1333,9,https://amazon.com/dp/B008LTBKM4?tag=pcbuilder00-20
30,Crucial,CT8G4SFS8266,8,1,DDR4,2666,19,https://amazon.com/dp/B071KNKBQ1?tag=pcbuilder00-20
30.12,Mushkin,MES4S213FF4G18X2,8,2,DDR4,2133,15,https://amazon.com/dp/B01ACHX9DA?tag=pcbuilder00-20
30.82,G.Skill,Aegis,8,1,DDR4,3200,16,https://amazon.com/dp/B07YPYZ19Z?tag=pcbuilder00-20
30.98,Kingston,KVR16LS11/8,8,1,DDR3,1600,11,https://amazon.com/dp/B00CQ35HBQ?tag=pcbuilder00-20
30.99,Patriot Memory,PVE2416G360C0,16,1,DDR4,3600,20,https://amazon.com/dp/B0957Z9KHQ?tag=pcbuilder00-20
30.99,TEAMGROUP,Elite 8,8,1,DDR4,3200,22,https://amazon.com/dp/B088JWLKDN?tag=pcbuilder00-20
30.99,Corsair,Vengeance LPX,8,1,DDR4,2400,16,https://amazon.com/dp/B01ARHCZYO?tag=pcbuilder00-20
30.99,Corsair,163446,8,1,DDR4,2133,15,https://amazon.com/dp/B00SV7IILC?tag=pcbuilder00-20
31.35,Patriot Memory,PSD38G16002S,8,1,DDR3,1600,11,https://amazon.com/dp/B007M538DW?tag=pcbuilder00-20
31.44,Patriot Memory,PSD38G13332,8,1,DDR3,1333,9,https://amazon.com/dp/B0075U12H8?tag=pcbuilder00-20
31.65,Crucial,CT51264BD1339,4,1,DDR3,1333,9,https://amazon.com/dp/B005LDLXS4?tag=pcbuilder00-20
31.71,Patriot Memory,PSD44G240081S,4,1,DDR4,2400,19,https://amazon.com/dp/B074Q1LM44?tag=pcbuilder00-20
31.8,Kingston,KVR1333D3N9/4G,4,2,DDR3,1333,9,https://amazon.com/dp/B0019MEIOM?tag=pcbuilder00-20
31.99,Corsair,Vengeance LPX,8,1,DDR4,2400,16,https://amazon.com/dp/B01ARHBBPS?tag=pcbuilder00-20
32.45,SAMSUNG,M393B2G70DB0-CMA,16,1,DDR3,1866,13,https://amazon.com/dp/B00LUJ1FTU?tag=pcbuilder00-20
32.5,Kingston,KVR16N11/8,8,1,DDR3,1600,11,https://amazon.com/dp/B0089JIDLC?tag=pcbuilder00-20
32.57,Corsair,Vengeance LPX,4,1,DDR4,2400,15,https://amazon.com/dp/B00UVN2BO4?tag=pcbuilder00-20
32.67,Kingston,KVR26N19S8L/8,8,1,DDR4,2666,19,https://amazon.com/dp/B07MK1YJFZ?tag=pcbuilder00-20
32.77,Kingston,ValueRAM,8,1,DDR4,2400,17,https://amazon.com/dp/B01GCWQGIY?tag=pcbuilder00-20
32.99,Patriot Memory,PVS416G360C8,16,1,DDR4,3600,18,https://amazon.com/dp/B088KSS19N?tag=pcbuilder00-20
32.99,Patriot Memory,PSD416G3200K,16,2,DDR4,3200,19,https://amazon.com/dp/B0887QSHQC?tag=pcbuilder00-20
32.99,Corsair,Vengeance LPX,8,1,DDR4,3000,16,https://amazon.com/dp/B07B4FRMGV?tag=pcbuilder00-20
32.99,Corsair,Vengeance LPX,8,1,DDR4,2666,16,https://amazon.com/dp/B0123ZAQJE?tag=pcbuilder00-20
33,Crucial,CT2CP51264BF1339,8,2,DDR3,1333,9,https://amazon.com/dp/B0067G1N34?tag=pcbuilder00-20
33.45,Crucial,CT2K51264BD160B,8,2,DDR3,1600,11,https://amazon.com/dp/B005NU49DG?tag=pcbuilder00-20
33.51,Corsair,Vengeance LP,4,1,DDR3,1600,9,https://amazon.com/dp/B005W2A5M4?tag=pcbuilder00-20
33.85,Kingston,KVR48S40BS6-8,8,1,DDR5,4800,40,https://amazon.com/dp/B09TWKP72G?tag=pcbuilder00-20
33.96,Crucial,CT16G4RFD4213,16,1,DDR4,2133,15,https://amazon.com/dp/B00KK8XNLA?tag=pcbuilder00-20
33.99,KLEVV,KD48GU880-36A180U,16,2,DDR4,3600,18,https://amazon.com/dp/B087XK3JZP?tag=pcbuilder00-20
33.99,OLOy,MD4U083016BJDA,16,2,DDR4,3000,16,https://amazon.com/dp/B083NPX9TJ?tag=pcbuilder00-20
33.99,OLOy,MD4U083016BHDA,16,2,DDR4,3000,16,https://amazon.com/dp/B088TP83M8?tag=pcbuilder00-20
33.99,Patriot Memory,Viper 4,8,2,DDR4,3000,16,https://amazon.com/dp/B07TVFBYPB?tag=pcbuilder00-20
33.99,OLOy,MD4U162619BBSA,16,1,DDR4,2666,19,https://amazon.com/dp/B08HSZLWWB?tag=pcbuilder00-20
33.99,G.Skill,RipJaws V,8,2,DDR4,2400,15,https://amazon.com/dp/B013GHSKR8?tag=pcbuilder00-20
34.15,Corsair,XMS3,4,1,DDR3,1333,9,https://amazon.com/dp/B003ZDJ42O?tag=pcbuilder00-20
34.23,Kingston,KCP426NS8/8,8,1,DDR4,2666,19,https://amazon.com/dp/B078WX2WTF?tag=pcbuilder00-20
34.27,SAMSUNG,M393A2G40EB1-CRC,16,1,DDR4,2400,17,https://amazon.com/dp/B01JCLHU2S?tag=pcbuilder00-20
34.31,Corsair,ValueSelect,8,1,DDR4,2133,15,https://amazon.com/dp/B0143UM6Y0?tag=pcbuilder00-20
34.37,Corsair,Vengeance LPX,8,1,DDR4,3200,16,https://amazon.com/dp/B08D6LKYR5?tag=pcbuilder00-20
34.5,Crucial,CT8G4DFS832A,8,1,DDR4,3200,22,https://amazon.com/dp/B07Q5KCWVG?tag=pcbuilder00-20
34.99,PNY,MD8GSD54800-TB,8,1,DDR5,4800,40,https://amazon.com/dp/B09PZ945J5?tag=pcbuilder00-20
34.99,Patriot Memory,Viper 4 Blackout,8,2,DDR4,3200,19,https://amazon.com/dp/B07WDN5VNR?tag=pcbuilder00-20
34.99,Patriot Memory,PVE2416G320C8K,16,2,DDR4,3200,18,https://amazon.com/dp/B0957TXNJ3?tag=pcbuilder00-20
34.99,Corsair,Vengeance LPX,8,1,DDR4,2666,16,https://amazon.com/dp/B0123ZASHO?tag=pcbuilder00-20
34.99,Crucial,CT4G4RFS8266,4,1,DDR4,2666,19,https://amazon.com/dp/B01MQY1XG1?tag=pcbuilder00-20
34.99,Corsair,Vengeance LPX,8,1,DDR4,2400,14,https://amazon.com/dp/B00UVN2C8O?tag=pcbuilder00-20
34.99,Patriot Memory,Viper 3,16,2,DDR3,1600,9,https://amazon.com/dp/B008LTJJJ0?tag=pcbuilder00-20
35,Crucial,CT8G4DFS8213,8,1,DDR4,2133,15,https://amazon.com/dp/B01BIWLFGQ?tag=pcbuilder00-20
35.48,HP,3193114,16,1,DDR3,1333,9,https://amazon.com/dp/B007KTOKTG?tag=pcbuilder00-20
35.68,Crucial,CT8G48C40S8U5,8,1,DDR5,4800,40,https://amazon.com/dp/B0BTTJ53CV?tag=pcbuilder00-20
35.88,G.Skill,Ripjaws,8,2,DDR3,1066,7,https://amazon.com/dp/B002XG8ZEW?tag=pcbuilder00-20
35.99,G.Skill,Aegis,8,1,DDR4,2666,19,https://amazon.com/dp/B07JKBL6KB?tag=pcbuilder00-20
35.99,Patriot Memory,Viper 3,16,2,DDR3,1866,10,https://amazon.com/dp/B00453R90W?tag=pcbuilder00-20
35.99,G.Skill,Ripjaws X,8,1,DDR3,1866,10,https://amazon.com/dp/B006L4MRS2?tag=pcbuilder00-20
35.99,Patriot Memory,Signature,16,2,DDR3,1600,11,https://amazon.com/dp/B007HZTD86?tag=pcbuilder00-20
36.38,G.Skill,Ripjaws X,8,2,DDR3,1333,9,https://amazon.com/dp/B004ISXB4C?tag=pcbuilder00-20
36.59,Corsair,ValueSelect,4,1,DDR3,1600,11,https://amazon.com/dp/B00UVN2C1Q?tag=pcbuilder00-20
36.86,G.Skill,Aegis,8,1,DDR4,3000,16,https://amazon.com/dp/B01IW7Z9GM?tag=pcbuilder00-20
36.98,Kingston,KVR21R15D4/16,16,1,DDR4,2133,15,https://amazon.com/dp/B00NLZANBC?tag=pcbuilder00-20
36.99,Patriot Memory,PVSR416G360C0,16,1,DDR4,3600,20,https://amazon.com/dp/B08N68PKPR?tag=pcbuilder00-20
36.99,XPG,AX4U32008G16A-DCBK20,16,2,DDR4,3200,16,https://amazon.com/dp/B08YS6GCLW?tag=pcbuilder00-20
37.5,Crucial,Single,8,1,DDR4,2666,19,https://amazon.com/dp/B0734V4SSR?tag=pcbuilder00-20
37.73,Patriot Memory,PSD44G266681S,4,1,DDR4,2666,19,https://amazon.com/dp/B07ZYZ8XYB?tag=pcbuilder00-20
37.83,G.Skill,Ripjaws X,8,2,DDR3,1600,9,https://amazon.com/dp/B004I763AW?tag=pcbuilder00-20
37.99,Patriot Memory,PVS416G266C8S,16,1,DDR4,2666,18,https://amazon.com/dp/B07QMPTNXY?tag=pcbuilder00-20
38,Crucial,CT2K51264BD160BJ,8,2,DDR3,1600,11,https://amazon.com/dp/B00A6GBN5Y?tag=pcbuilder00-20
38.15,Corsair,Vengeance LPX,8,1,DDR4,2400,15,https://amazon.com/dp/B00UVN2B8K?tag=pcbuilder00-20
38.16,G.Skill,Ripjaws 4,8,2,DDR4,2400,15,https://amazon.com/dp/B00RLV0Q9G?tag=pcbuilder00-20
38.28,G.Skill,F3-2400C11D-8GSR,8,2,DDR3,2400,11,https://amazon.com/dp/B00CKNL310?tag=pcbuilder00-20
38.37,G.Skill,RipJaws,8,2,DDR3,1600,9,https://amazon.com/dp/B00339X1EM?tag=pcbuilder00-20
38.95,Crucial,CT8G4DFD8213,8,1,DDR4,2133,15,https://amazon.com/dp/B00MMLUYVU?tag=pcbuilder00-20
38.98,Crucial,CT8G4RFS4213,8,1,DDR4,2133,15,https://amazon.com/dp/B00KK8UTS0?tag=pcbuilder00-20
38.99,Patriot Memory,Viper Blackout,16,2,DDR4,3600,18,https://amazon.com/dp/B08GKYGH68?tag=pcbuilder00-20
38.99,Crucial,CT8G4RFS824A,8,1,DDR4,2400,17,https://amazon.com/dp/B017UGKL4G?tag=pcbuilder00-20
39.01,Corsair,CMV8GX3M1A1333C9,8,1,DDR3,1333,9,https://amazon.com/dp/B007EHKXRW?tag=pcbuilder00-20
39.23,SAMSUNG,M393A4K40CB1-CRC,32,1,DDR4,2400,17,https://amazon.com/dp/B078V19STQ?tag=pcbuilder00-20
39.87,G.Skill,Aegis,8,2,DDR4,2400,17,https://amazon.com/dp/B075RLKL4L?tag=pcbuilder00-20
39.95,Crucial,CT2K4G4SFS624A,8,2,DDR4,2400,17,https://amazon.com/dp/B01MTRU7DN?tag=pcbuilder00-20
39.99,TEAMGROUP,TPBD516G4800HC4001,16,1,DDR5,4800,40,https://amazon.com/dp/B0BC8N6BXK?tag=pcbuilder00-20
39.99,TEAMGROUP,Elite 16,16,2,DDR4,2666,19,https://amazon.com/dp/B07QMMZ79V?tag=pcbuilder00-20
39.99,G.Skill,Aegis,16,1,DDR4,2666,19,https://amazon.com/dp/B07NZ151M2?tag=pcbuilder00-20
39.99,Crucial,CT8G4RFS424A,8,1,DDR4,2400,17,https://amazon.com/dp/B019HKOB8A?tag=pcbuilder00-20
39.99,G.Skill,Ripjaws,16,2,DDR3,1600,9,https://amazon.com/dp/B00EOTYZOA?tag=pcbuilder00-20
39.99,PNY,NHS 8,8,1,DDR3,1600,11,https://amazon.com/dp/B012TS9X7Q?tag=pcbuilder00-20
40.13,G.Skill,Ripjaws 4,8,2,DDR4,2666,15,https://amazon.com/dp/B011SMPVXO?tag=pcbuilder00-20
40.51,Kingston,KTH-PL426S8/8G,8,1,DDR4,2666,19,https://amazon.com/dp/B076LW1NRN?tag=pcbuilder00-20
40.69,G.Skill,F3-2400C11D-8GAB,8,2,DDR3,2400,11,https://amazon.com/dp/B00CMWRTTY?tag=pcbuilder00-20
40.97,SP Silicon Power,Power 16,16,2,DDR4,3200,16,https://amazon.com/dp/B08QV1V17R?tag=pcbuilder00-20
40.99,Patriot Memory,PVS416G360C8K,16,2,DDR4,3600,18,https://amazon.com/dp/B088KS8CRN?tag=pcbuilder00-20
40.99,TEAMGROUP,T-Create Classic,16,2,DDR4,3200,22,https://amazon.com/dp/B08HLYYP4G?tag=pcbuilder00-20
40.99,Crucial,CT102472BD1339,8,1,DDR3,1333,9,https://amazon.com/dp/B006YG8ZHO?tag=pcbuilder00-20
41.29,SP Silicon Power,SP016GBSFU213B02,16,1,DDR4,2133,15,https://amazon.com/dp/B06XP1ZMF5?tag=pcbuilder00-20
41.97,SP Silicon Power,XPOWER Turbine,16,2,DDR4,3200,16,https://amazon.com/dp/B07NKYM62D?tag=pcbuilder00-20
41.97,SP Silicon Power,Power 16,16,2,DDR4,3200,16,https://amazon.com/dp/B08L984GSJ?tag=pcbuilder00-20
41.99,Patriot Memory,PSD516G480081S,16,1,DDR5,4800,46,https://amazon.com/dp/B0B49LC4FJ?tag=pcbuilder00-20
41.99,TEAMGROUP,T-Force Zeus,16,2,DDR4,3200,20,https://amazon.com/dp/B08H8JDQK1?tag=pcbuilder00-20
