Title,Price,Brand,Model,Power,Efficiency,Link
"Super Flower Leadex III Bronze PRO 750W 80+ Bronze, ECO Fanless & Silent Mode, Full Modular Power Supply, Fluid Dynamic Bearing Fan",119.99,Super Flower,Leadex III Super Pro,750 W,80+ Bronze,https://amazon.com/dp/B08H1BXB4T?tag=pcbuilder00-20
Cooler Master MWE Gold 550 Watt 80 Plus Gold Certified Power Supply,/A,Cooler Master,MPY-5501-ACAAG-US,550 W,80+ Gold,https://amazon.com/dp/B07JFLNPDH?tag=pcbuilder00-20
Seasonic SSP-300SUG 300W 80 Plus Gold Flex ATX12V Power Supply W Active PFC,78.95,Seasonic,SSP-300SUG,300 W,80+ Gold,https://amazon.com/dp/B017XEIJDK?tag=pcbuilder00-20
In-Win IP-S300FF1-0 300W TFX Power Supply For BL/BP Series,61.01,IN WIN,IP-S300FF1-0 H,300 W,80+,https://amazon.com/dp/B0059E32FW?tag=pcbuilder00-20
Xilence Alimentation ATX Compatible Performance X - 1050W,212.09,Xilence,XN076,1050 W,80+ Gold,https://amazon.com/dp/B07HC5NSNW?tag=pcbuilder00-20
"Corsair RM1000e Fully Modular Low-Noise ATX Power Supply (Dual EPS12V Connectors, Low-Noise, 105°C-Rated Capacitors, 80 PLUS Gold-Certified Efficiency, Modern Standby Support) Black",134.99,Corsair,RM1000e,1000 W,80+ Gold,https://amazon.com/dp/B0B7237XFJ?tag=pcbuilder00-20
"Seasonic Focus SGX-750(2021), 750W 80+ Gold, Full Modular, SFX Form Factor, Compact Size",169.99,Seasonic,SSR-750SGX V2(2021),750 W,80+ Gold,https://amazon.com/dp/B09TDV18HG?tag=pcbuilder00-20
Corsair Enthusiast Series TX 550 Watt ATX/EPS Modular 80 PLUS Bronze,216.59,Corsair,TX550M,550 W,80+ Bronze,https://amazon.com/dp/B005E98J28?tag=pcbuilder00-20
Topower ATX 550 Power Supply ZU-550W,61,Topower,ZU-550W,550 W,80+,https://amazon.com/dp/B001MD45ZK?tag=pcbuilder00-20
Raidmax ATX 400 Power Supply,/A,Raidmax,RX 400AF,400 W,80+ Bronze,https://amazon.com/dp/B00HK74EQ2?tag=pcbuilder00-20
Athena AP-MP4ATX30 300 Watt MicroATX Power Supply,46.99,Athena Power,AP-MP4ATX30,300 W,80+,https://amazon.com/dp/B002DBSRIQ?tag=pcbuilder00-20
