Title,Price,Brand,Model,Cores,Threads,Socket Type,Base Speed,Turbo Speed,Integrated Graphics,Memory Type,Link
"AMD Ryzen Threadripper 2920X (12-Core/24-Thread) Processor 4.3 GHz Max Boost 38MB Cache, without Cooler",179.95,AMD,Ryzen Threadripper 2920X,12,24,sTR4,3.5 GHz,4.3 GHz,,,https://amazon.com/dp/B07JDF4QP2?tag=pcbuilder00-20
Intel Core i7-11700K Desktop Processor 8 Cores up to 5.0 GHz Unlocked LGA1200 (Intel 500 Series & Select 400 Series Chipset) 125W,308,Intel,Core i7-11700K,8,16,LGA 1200,3.6 GHz,5.0 GHz,,,https://amazon.com/dp/B08X6ND3WP?tag=pcbuilder00-20
Intel Core i5-12600KF Desktop Processor 10 (6P+4E) Cores up to 4.9 GHz Unlocked  LGA1700 600 Series Chipset 125W,234.99,Intel,Core i5-12600KF,10,16,LGA 1700,3.7 GHz,4.9 GHz,,,https://amazon.com/dp/B09FXFJW2F?tag=pcbuilder00-20
Intel Core i9-11900KF Desktop Processor 8 Cores up to 5.3 GHz Unlocked LGA1200 (Intel 500 Series & Select 400 Series Chipset) 125W,369.98,Intel,Core i9-11900KF,8,16,LGA 1200,3.5 GHz,5.3 GHz,,,https://amazon.com/dp/B08X6KQSZ1?tag=pcbuilder00-20
Intel Core i5-12600K Desktop Processor 10 (6P+4E) Cores up to 4.9 GHz Unlocked  LGA1700 600 Series Chipset 125W,237.98,Intel,Core i5-12600K,10,16,LGA 1700,3.7 GHz,4.9 GHz,,,https://amazon.com/dp/B09FX4D72T?tag=pcbuilder00-20
"AMD Ryzen 7 3800XT, 8 Cores & 16 Threads Unlocked Desktop Processor Without Cooler",299.99,AMD,Ryzen 7 3800XT,8,16,AM4,3.9 GHz,4.7 GHz,,,https://amazon.com/dp/B089WCXZJC?tag=pcbuilder00-20
Intel Core i9-10900K Desktop Processor 10 Cores up to 5.3 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W,366.99,Intel,Core i9-10900K,10,20,LGA 1200,3.7 GHz,5.3 GHz,,,https://amazon.com/dp/B086MHSTVD?tag=pcbuilder00-20
Intel Core i7-11700KF Desktop Processor 8 Cores up to 5.0 GHz Unlocked LGA1200 (Intel 500 Series & Select 400 Series Chipset) 125W,290.99,Intel,Core i7-11700KF,8,16,LGA 1200,3.6 GHz,5.0 GHz,,,https://amazon.com/dp/B08X6NXNX7?tag=pcbuilder00-20
"Intel Core i9-10900KF Processor, 10 Cores & 20 Threads , Unlocked Without Processor Graphics",354.97,Intel,Core i9-10900KF,10,20,LGA 1200,3.7 GHz,5.3 GHz,,,https://amazon.com/dp/B086MG1C7D?tag=pcbuilder00-20
"Intel Core i9-7920X, 12 Cores & 24 Threads Turbo Unlocked X-Series Processor",549,Intel,Core i9-7920X,12,24,LGA 2066,2.9 GHz,4.4 GHz,,,https://amazon.com/dp/B0756L5T93?tag=pcbuilder00-20
Intel Core i9-10850K Desktop Processor 10 Cores up to 5.2 GHz Unlocked LGA1200 (Intel 400 Series chipset) 125W,343.65,Intel,Core i9-10850K,10,20,LGA 1200,3.6 GHz,5.2 GHz,,,https://amazon.com/dp/B08DHRG2X9?tag=pcbuilder00-20
"AMD Ryzen 7 3800X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler",285,AMD,Ryzen 7 3800X,8,16,AM4,3.9 GHz,4.5 GHz,,,https://amazon.com/dp/B07SXMZLPJ?tag=pcbuilder00-20
"Intel Core i9-10900X, 10 Cores & 20 Threads Turbo Unlocked X-Series Desktop Processor",549.99,Intel,Core i9-10900X,10,20,LGA 2066,3.7 GHz,4.7 GHz,,,https://amazon.com/dp/B07YP69HTM?tag=pcbuilder00-20
Intel Core i9-11900F Desktop Processor 8 Cores up to 5.2 GHz LGA1200 (Intel® 500 Series & Select 400 Series Chipset) 65W,449,Intel,Core i9-11900F,8,16,LGA 1200,2.5 GHz,5.5 GHz,,,https://amazon.com/dp/B08X6KFM3N?tag=pcbuilder00-20
Intel Core i9-11900 Desktop Processor 8 Cores up to 5.2 GHz LGA1200 (Intel 500 Series & Select 400 Series Chipset) 65W,379.99,Intel,Core i9-11900,8,16,LGA 1200,2.50 GHz,5.20 GHz,,,https://amazon.com/dp/B08X5XVLL9?tag=pcbuilder00-20
"AMD Ryzen Threadripper 1920X with 12-Core, 24-Thread Unlocked Desktop Processor, without Cooler",270,AMD,Ryzen Threadripper 1920X,12,24,sTR4,3.5 GHz,4.0 GHz,,,https://amazon.com/dp/B074CBJHCT?tag=pcbuilder00-20
"AMD Ryzen 7 3700X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler",215,AMD,Ryzen 7 3700X,8,16,AM4,3.6 GHz,4.4 GHz,,,https://amazon.com/dp/B07SXMZLPK?tag=pcbuilder00-20
"Intel Core i9-9900X, 10 Cores & 20 Threads Turbo Unlocked X-Series Processor",650,Intel,Core i9-9900X,10,20,LGA 2066,3.5 GHz,4.5 GHz,,,https://amazon.com/dp/B07JDV1MMR?tag=pcbuilder00-20
"Intel Core i9-7900X, 10 Cores & 20 Threads Turbo Unlocked X-Series Desktop Processor",425,Intel,Core i9-7900X,10,20,LGA 2066,3.3 GHz,4.3 GHz,,,https://amazon.com/dp/B072KTSCCS?tag=pcbuilder00-20
Intel Core i5 i5-12600 3.30 GHz Processor,273.38,Intel,Core i5-12600,6,12,LGA 1700,3.3 GHz,4.8 GHz,,,https://amazon.com/dp/B09MSLG944?tag=pcbuilder00-20
