Title,Price,Brand,Model,chipset,Form factor,Socket type,Memory slots,max_memory_support,Link
"ASRock B760M PG Riptide Intel 12th & 13th Generation CPU (LGA1700) B760 Chipset, DDR5 Micro ATX Motherboard",119.99,ASRock,B760M PG RIPTIDE,AMD B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BQWPTZWD?tag=pcbuilder00-20
ASRock B760M-ITX/D4 WiFi Supports 13th Gen & 12th Gen Intel® Core™ Processors (LGA1700),189.88,ASRock,B760M-ITX/D4 WIFI,Intel B760,Mini ITX,LGA 1700,,,https://amazon.com/dp/B0BQWQ9QPK?tag=pcbuilder00-20
"ASUS Prime B760M-K D4 Intel® B760 mATX Motherboard (Realtek 2.5Gb Ethernet, HDMI®, SATA 6 Gbps, Front USB 3.2 Gen 1, Aura Sync)",144.63,ASUS,PRIME B760M-K D4,Intel B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BR8SGYXP?tag=pcbuilder00-20
"ASUS PRIME B760M-A AX D4 Intel B760 mATX motherboard (DisplayPort, Dual HDMI, rear USB 3.2 Gen 2,front USB 3.2 Gen 1 Type-C, Aura Sync)",169.99,ASUS,PRIME B760M-A AX D4,Intel B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BR8SH6PD?tag=pcbuilder00-20
MB GBT Intel 1700 B760 GAMING X AX DDR4,235.79,Gigabyte,B760 GAMING X AX DDR4,Intel B760,ATX,LGA 1700,,,https://amazon.com/dp/B0BPMKWQ5Q?tag=pcbuilder00-20
MB GBT Intel 1700 B760 DS3H AX DDR4,204.09,Gigabyte,B760M GAMING X AX DDR4,Intel B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BPMGLGD7?tag=pcbuilder00-20
Gigabyte Ultra Durable B760M DS3H AX Gaming Desktop Motherboard - Intel B760 Chipset - Socket LGA-1700 - Micro ATX,158.08,GIGABYTE,B760M DS3H AX DDR4,Intel B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BPMJ5JKL?tag=pcbuilder00-20
MB ASRock | B760 Pro RS R,167.99,ASRock,B760 PRO RS,AMD B760,ATX,LGA 1700,,,https://amazon.com/dp/B0BQWRCNT8?tag=pcbuilder00-20
"ASUS ROG Strix B760-F Gaming WiFi Intel B760 LGA 1700 ATX Motherboard (WiFi 6E, USB 3.2 Gen 2x2 Type-C, Aura Sync RGB)",269.99,ASUS,ROG STRIX B760-F GAMING WIFI,Intel B760,ATX,LGA 1700,,,https://amazon.com/dp/B0BR8W84MB?tag=pcbuilder00-20
"ASUS Pro B760M-CT-CSM Intel LGA1700 mATX commercial (front USB 3.2 Gen 1 Type-C, bQ-LED Core, Mono-out header, SMBUS header)",139.99,ASUS,Pro B760M-CT-CSM,Intel B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BR8YT3ZX?tag=pcbuilder00-20
"ASUS TUF Gaming B760M-PLUS WiFi (13th and 12th Gen) LGA 1700 mATX Motherboard with PCIe 5.0, 2xPCIe 4.0 M.2 Slots,DDR5,2.5Gb LAN,Front USB 3.2 Gen 2 Type-C, Thunderbolt 4, AEMP II",241.93,ASUS,TUF GAMING B760M-PLUS WIFI,Intel B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BZTB87BY?tag=pcbuilder00-20
ASRock B760M-HDV/M.2 D4 Motherboard,149,ASRock,B760M-HDV/M.2 D4,Intel B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BQWPKCTP?tag=pcbuilder00-20
GIGABYTE Z690 Gaming X (LGA 1700/ Intel Z690/ ATX/ DDR5/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/ 2.5GbE LAN/Gaming Motherboard),229.99,Gigabyte,Z690 Gaming X,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09WZKXNVP?tag=pcbuilder00-20
GIGABYTE Z690I AORUS Ultra Plus (LGA 1700/ Intel Z690/ Mini-ITX/ DDR5/ Dual M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/Intel WiFi 6E DCT/Intel 2.5 GbE LAN/Gaming Motherboard),369.81,Gigabyte,Z690I AORUS Ultra Plus,Intel Z690,Mini ITX,LGA 1700,,,https://amazon.com/dp/B09ZKGB46W?tag=pcbuilder00-20
GIGABYTE Z690 AERO D (LGA 1700/ Intel Z690/ ATX/ DDR5/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/WiFi 6/ AQUANTIA 10GbE LAN/Motherboard),379.99,Gigabyte,Z690 AERO D,Intel Z690,Extended ATX,LGA 1700,,,https://amazon.com/dp/B083NLHMG7?tag=pcbuilder00-20
GIGABYTE Z690 AERO G DDR4 (LGA 1700/ Intel Z690/ ATX/ DDR4/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/WiFi 6/ Intel 2.5 GbE LAN/Motherboard),259.99,Gigabyte,Z690 AERO G DDR4,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09L9DY4L1?tag=pcbuilder00-20
GIGABYTE Z690 AORUS ULTRA (LGA 1700/ Intel Z690/ ATX/ DDR5/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2/ Type-C/ WiFi 6/ 2.5GbE LAN/ Gaming Motherboard),219.99,Gigabyte,Z690 AORUS ULTRA,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09JZFT4SN?tag=pcbuilder00-20
GIGABYTE Z690 AORUS Elite AX (LGA 1700/ Intel Z690/ ATX/ DDR5/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/WiFi 6/2.5GbE LAN/Gaming Motherboard),235.99,Gigabyte,Z690 AORUS Elite AX,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B083NPKL1C?tag=pcbuilder00-20
GIGABYTE Z690 AERO G (LGA 1700/ Intel Z690/ ATX/ DDR5/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/WiFi 6/ Intel 2.5 GbE LAN/Motherboard),259.99,Gigabyte,Z690 AERO G,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B083NN4MLZ?tag=pcbuilder00-20
GIGABYTE Z690 UD AX DDR4 (LGA 1700/ Intel Z690/ ATX/ DDR4/ Triple M.2/ PCIe 5.0/ USB 3.2 Gen2X2/ Type-C/WiFi 6/2.5GbE LAN/Motherboard),209.99,Gigabyte,Z690 UD AX DDR4,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09JZGTYXJ?tag=pcbuilder00-20
