Title,Price,Brand,Model,Capacity:,Type:,RPM,Interface,Cache Memory,Form Factor,Link
"Western Digital WD Blue 2TB 3D NAND SATA 6Gb/s, M.2-2280 Internal Solid State Drive",134.99,Western Digital,WD Blue,2 TB,SSD,,SATA III 6 Gb/s,,M.2-2280,https://amazon.com/dp/B073SBW3VD?tag=pcbuilder00-20
"Silicon Power A60, 512GB PCIe Gen3 x4 NVMe M.2-2280 Internal Solid State Drive",31.49,SP Silicon Power,A60,512 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07ZGJYLNL?tag=pcbuilder00-20
Kingston A2000 1TB PCIe NVMe M.2-2280 Internal Solid State Drive,95.49,Kingston,A2000,1 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07VXC9QMH?tag=pcbuilder00-20
Sabrent Rocket Q 1TB PCIe NVMe M.2-2280 High Performance Internal Solid State Drive,79.99,Sabrent,Rocket Q,1 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07ZZYWTBP?tag=pcbuilder00-20
"Seagate Bare Drives BarraCuda 1TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 64MB Cache",44.99,Seagate,BarraCuda,1 TB,HDD,5400 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B07D99KFPK?tag=pcbuilder00-20
"Seagate IronWolf Pro 4 TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 128MB Cache",139.88,Seagate,IronWolf Pro,4.0 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B07SY4T6F5?tag=pcbuilder00-20
Kingston A2000 500GB PCIe NVMe M.2-2280 Internal Solid State Drive,72.99,Kingston,A2000,500 GB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07VXCFNVS?tag=pcbuilder00-20
"Silicon Power 512GB 3D NAND SATA 6Gb/s, 2.5"" Internal Solid State Drive",25.99,SP Silicon Power,A55,512 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07997QV4Z?tag=pcbuilder00-20
"ADATA XPG SX8200 Pro, 512GB PCIe NVMe M.2-2280 Internal Solid State Drive",83.66,ADATA,XPG SX8200 Pro,512 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07K1HMMJC?tag=pcbuilder00-20
"Crucial BX500 1TB 3D NAND SATA 6Gb/s, 2.5"" Internal Solid State Drive",69.48,Crucial,BX500,1 TB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B07YD579WM?tag=pcbuilder00-20
Samsung 970 PRO 1TB PCIe NVMe M.2-2280 Interface Internal Solid State Drive with V-NAND Technology,287.99,Samsung,970 Pro,1 TB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07BYHGNB5?tag=pcbuilder00-20
Silicon Power 1TB PCIe Gen3 x4 NVMe M.2-2280 Internal Solid State Drive,51.99,SP Silicon Power,A60,1 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07ZGJVTZK?tag=pcbuilder00-20
"Seagate BarraCuda 8TB SATA 6Gb/s, 3.5"" Internal Hard Drive HDD with 5400 RPM & 256MB Cache",119.99,Seagate,BarraCuda,8 TB,HDD,5400 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07H289S7C?tag=pcbuilder00-20
Silicon Power 256GB PCIe Gen3 x4 NVMe M.2-2280 Internal Solid State Drive,20.99,SP Silicon Power,A60,256 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07ZGK3K4V?tag=pcbuilder00-20
Kingston A2000 250GB PCIe NVMe M.2-2280 Internal Solid State Drive,44.95,Kingston,A2000,250 GB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07VYG5HQD?tag=pcbuilder00-20
"Seagate Barracuda 500GB SATA 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 16MB Cache",21.99,Seagate,BarraCuda,500 GB,HDD,7200 RPM,SATA 6 Gb/s,16 MB,"3.5""",https://amazon.com/dp/B005EE5P84?tag=pcbuilder00-20
"Crucial MX500 2TB 3D NAND SATA 6Gb/s, 2.5"" Internal Solid State Drive with 2048MB Cache",174.99,Crucial,MX500,2 TB,SSD,,SATA III 6 Gb/s,2048 MB,"2.5""",https://amazon.com/dp/B003J5JB12?tag=pcbuilder00-20
Sabrent Rocket 2TB PCIe Gen4 NVMe M.2-2280 Extreme Performance Internal Solid State Drive,239.99,Sabrent,Rocket 4.0,2 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07TN1MNJ4?tag=pcbuilder00-20
"Samsung EVO 860, 4TB SATA 6Gb/s, 2.5"" Internal Solid State Drive with 4096MB Cache",594.99,Samsung,EVO 860,4.0 TB,SSD,,SATA III 6 Gb/s,4096 MB,"2.5""",https://amazon.com/dp/B07864XY8B?tag=pcbuilder00-20
Crucial P2 500GB 3D NAND PCIe Gen3 X4 NVMe M.2-2280 Internal Solid State Drive,39.99,Crucial,P2,500 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B086BGWNY8?tag=pcbuilder00-20
"TC SUNBOW 120GB SATA III 6Gb/s, 2.5"" Internal Solid State Drive",/A,TC SUNBOW,X3,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B073TTR8JY?tag=pcbuilder00-20
"PNY CS900 240GB 3D NAND SATA 6Gb/s, 2.5"" Internal Solid State Drive",19.99,PNY,CS900,240 GB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B0719D9YL7?tag=pcbuilder00-20
Corsair Force MP600 Series 500GB PCIe Gen.4 NVMe M.2-2280 Internal Solid State Drive,/A,Corsair,MP600 Force,500 GB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07WS1BRX4?tag=pcbuilder00-20
"Western Digital WD Blue 1TB 3.5"" Internal Hard Drive with 5400 RPM & 64 MB Cache",48.99,Western Digital,Blue,1 TB,HDD,5400 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B013HNYVLA?tag=pcbuilder00-20
"Seagate BarraCuda 4TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 5400 RPM & 256MB Cache",67.99,Seagate,BarraCuda,4 TB,HDD,5400 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07D9C7SQH?tag=pcbuilder00-20
