Title,Price,Brand,Model,Capacity:,Type:,RPM,Interface,Cache Memory,Form Factor,Link
"Optiarc SSD 480GB Internal Solid State Drive - SATA III 6 Gb/s, 2.5""",59.95,Optiarc,OPT480S325-R,480 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07NMG8QHR?tag=pcbuilder00-20
Intel DC S4500 960GB Solid State Drive,317.98,Intel,S4500,960 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B074RK8L2Y?tag=pcbuilder00-20
VisionTek 1TB 7mm SATA III Internal 2.5-Inch Solid State Drive,442.59,VisionTek,900781,1 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00RH6FCEY?tag=pcbuilder00-20
"Western Digital RE2-GP Enterprise 1 TB Bulk/OEM Hard Drive 3.5 Inch, 16 MB Cache, 5400RPM SATA II",58.28,Western Digital,WD1000FYPS,1 TB,HDD,7200 RPM,SATA III Gb/s,16 MB,"3.5""",https://amazon.com/dp/B001441Y56?tag=pcbuilder00-20
"Seagate Desktop HDD 500GB 7200RPM SATA 3Gb/s 16 MB Cache 3.5""- Internal Drive Retail Kit",92.99,Seagate,ST3500641AS-RK,500 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"3.5""",https://amazon.com/dp/B000EY5F5C?tag=pcbuilder00-20
"Seagate Hard Drive 320 Sata_3_0_gb 8 MB Cache 3.5"" Internal Bare or OEM Drives",33.99,Seagate,ST3320311CS,320 GB,HDD,5900 RPM,SATA III Gb/s,8 MB,"3.5""",https://amazon.com/dp/B0030GJ31I?tag=pcbuilder00-20
Intel 320 Series 600 GB SATA 2.5-Inch Solid-State Drive,272,Intel,SSDSA2CW600G310,600 GB,SSD,,SATA III Gb/s,,"2.5""",https://amazon.com/dp/B004U9YB02?tag=pcbuilder00-20
Western Digital WD Scorpio Black 750 GB SATA 3 GB/s 7200 RPM 16 MB Cache Internal Bulk/OEM 2.5-Inch Mobile Hard Drive,89.99,Western Digital,WD7500BPKT,750 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B004I9J5OG?tag=pcbuilder00-20
Hitachi 750gb 7200rpm 2.5inch 16mb Cache 3.0gbps Seri,49.86 (Used),Hitachi,Travelstar 7K750,750 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B00DUG7WPC?tag=pcbuilder00-20
"Seagate Momentus 500 GB 2.5"" Internal Hard Drive",47,Seagate,Momentus 7200.4,500 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B004SU7UXI?tag=pcbuilder00-20
"Toshiba 3TB SATA 6Gb/s 7200rpm 3.5"" Inte",159,Toshiba,PH3300U-1I72,3 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B009E6J1BU?tag=pcbuilder00-20
Lenovo HDD BO TP 1TB PCIE M.2 2280 SSD F/Notebook,408.96,Lenovo,4XB0W79582,1 TB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07Y51W5R4?tag=pcbuilder00-20
Patriot MEMORY Patriot P300 2TB M.2 PCIe 2TB,109.99,Patriot Memory,P300,2 TB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B089Y3262K?tag=pcbuilder00-20
"Seagate Enterprise Capacity 4 TB 3.5"" 7200RPM Internal Hard Drive",150.32,Seagate,ST4000NM0115,4 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B01N2OGNDU?tag=pcbuilder00-20
"Intel 240GB Solid State Drive 2.5-inch, SATA 3.0, Internal",141,Intel,SSDSC2KB240G801,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07GJL8H7M?tag=pcbuilder00-20
Seagate Constellation ES 500 GB 7200RPM SATA 3Gb/s 32 MB Cache 3.5 Inch Internal Hard Drive - Bare Drive,31.99,Seagate,Constellation ES,500 GB,HDD,7200 RPM,SATA III Gb/s,32 MB,"3.5""",https://amazon.com/dp/B003IT70LM?tag=pcbuilder00-20
"Seagate Nytro 1000 Solid State Drive - Sata 600-2.5"" Drive - Internal, 240 GB",/A,Seagate,Nytro 1000,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07GLKYBHW?tag=pcbuilder00-20
Toshiba HDEPR11GEA51 3.5 4TB 7200RPM SATA 6GB,315.24,Toshiba,HDEPR11GEA51,4 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B017O2A92K?tag=pcbuilder00-20
"Hitachi PN 0A39289, MLC JPT3EA, Hitachi 1TB SATA 3.5 Hard Drive",84.90,Hitachi,HUA722010CLA330,1 TB,HDD,7200 RPM,SATA 6 Gb/s,32 MB,"3.5""",https://amazon.com/dp/B00MBN6BJS?tag=pcbuilder00-20
HGST Ultrastar He10 8 TB Internal Hard Drive,249,Hitachi,0F27610,8 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B01GAFH5CY?tag=pcbuilder00-20
Kingston Digital 480GB DC450R Entry LVL ENT/SVR 2.5IN,92.49,Kingston,DC450R,480 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07ZG53P2V?tag=pcbuilder00-20
Kingston Digital 960GB DC450R Entry LVL ENT/SVR 2.5IN,143.56,Kingston,DC450R,960 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07ZG4RGJV?tag=pcbuilder00-20
PNY XLR8 CS3040 4TB M.2 NVMe Gen4 x4 Internal Solid State Drive (SSD),717,PNY,XLR8,4 TB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B08TRN15K5?tag=pcbuilder00-20
"Toshiba AL13SE AL13SEB600 600 GB 2.5"" Internal Hard Drive",46.73,Toshiba,AL13SEB600,600 GB,HDD,10500 RPM,SATA 6 Gb/s,64 MB,"2.5""",https://amazon.com/dp/B00B9TZ0F6?tag=pcbuilder00-20
"Toshiba OCZ Vector 180 960GB 2.5"" 7mm SATA III Internal Solid State Drive VTR180",/A,OCZ,VTR180,960 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00TR050BI?tag=pcbuilder00-20
Kingston HyperX 120GB SATA III 2.5-Inch 6.0 Gb/s Solid State Drive with SandForce Technology,503.98,Kingston,HyperX,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B005C95NEC?tag=pcbuilder00-20
"HGST 3.5"" 2TB 7200RPM SATA",498,HGST,7K4000,2 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B00B9U4JAM?tag=pcbuilder00-20
Seagate 1tb 7200rpm 64mb Cache Fde Fips Constellation 2.5,258.70 (Used),Seagate,ST91000642NS,1 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"2.5""",https://amazon.com/dp/B004TLVF2S?tag=pcbuilder00-20
Western Digital WD SE 1TB Datacenter Hard Disk Drive - 7200 RPM SATA 6 Gb/s 128MB Cache 3.5 Inch,130,Western Digital,WD1002F9YZ,1 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B00J4USXF6?tag=pcbuilder00-20
"Intel S3710 Series Internal Solid State Drive (2.5"", SATA 6Gb/s, 1.2TB Storage Capacity)",688,Intel,S3710,1.2 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00Q1Y3PRE?tag=pcbuilder00-20
Western Digital Western Digital Scorpio 80gb 7200rpm Sata-300 2.5inch Hard,125,Western Digital,WD800BEKT,80 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B00DH434ZO?tag=pcbuilder00-20
Intel OEM 40gb 320 Ssd Sata2 G3 25in Mlc 70mm,73.97,Intel,SSDSA2BT040G301,40 GB,SSD,,SATA III Gb/s,,"2.5""",https://amazon.com/dp/B005B0Z4R8?tag=pcbuilder00-20
Samsung 830 - Series 512 GB 2.5 Inch SATA III MLC Internal SSD Laptop Kit with Norton Ghost 15,921.69,Samsung,830,512 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B005T3GPXO?tag=pcbuilder00-20
Intel 520 Series 180GB 2.5 Reseller,149.25,Intel,SSDSC2CW180A3K5,180 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B006VCP8L2?tag=pcbuilder00-20
Western Digital WD Black 160GB Performance Mobile Hard Disk Drive - 7200 RPM SATA 6 Gb/s 16MB Cache 9.5 MM 2.5 Inch,178.86 (Used),Western Digital,WD1600BEKX,160 GB,HDD,7200 RPM,SATA 6 Gb/s,16 MB,"2.5""",https://amazon.com/dp/B00DSUTUXW?tag=pcbuilder00-20
Western Digital WD 500 GB 2.5-Inch Laptop Mainstream,19.95,Western Digital,WDBMYH5000ANC-NRSN,500 GB,HDD,5400 RPM,SATA III Gb/s,8 MB,"2.5""",https://amazon.com/dp/B00D8X0HFE?tag=pcbuilder00-20
Kingston Digital 60 GB SSDNow KC300 SATA 3 2.5-Inch Solid State Drive with Adapter,124,Kingston,KC300,60 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00CLB4CJQ?tag=pcbuilder00-20
VisionTek 480GB 9.5mm SATA III Internal 2.5-Inch Solid State Drive,78.73,VisionTek,900606,480 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00B7N6DF0?tag=pcbuilder00-20
Western Digital WD 500 GB WD Desktop Mainstream 32MB Cache 3.5-Inch Internal Bare/OEM Drive,40,Western Digital,WDBH2D5000ENC-NRSN,500 GB,HDD,7200 RPM,SATA III Gb/s,32 MB,"3.5""",https://amazon.com/dp/B00D8X0JUC?tag=pcbuilder00-20
Intel SSD Pro 6000p 128GB PCI Express 3.0x4 3D1 TLC Single Pack Retail,85.89,Intel,SSDPEKKF128G7X1,128 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B01LWAHRNW?tag=pcbuilder00-20
Seagate Nytro 1000 SATA 1.92TB SSD 2.5 Inches,/A,Seagate,Nytro 1000,1.92 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07GLKF4HV?tag=pcbuilder00-20
Hitachi Deskstar 7K100 Hard Drive,99.99,Hitachi,7K1000,1 TB,HDD,7200 RPM,SATA III Gb/s,32 MB,"3.5""",https://amazon.com/dp/B000SZBFNS?tag=pcbuilder00-20
Western Digital 500 GB WD Black SATA III 7200 RPM 32 MB Cache Bulk/OEM Desktop Hard Drive,198,Western Digital,WD5002AALX,500 GB,HDD,7200 RPM,SATA 6 Gb/s,32 MB,"3.5""",https://amazon.com/dp/B004DMFAJ2?tag=pcbuilder00-20
"Seagate Laptop SATA 3Gb/s 8MB Cache 2.5"" - Internal Drive Retail Kit 500 GB",38.99,Seagate,ST905003N1A1AS-RK,500 GB,HDD,5400 RPM,SATA III Gb/s,8 MB,"2.5""",https://amazon.com/dp/B001MTWSLW?tag=pcbuilder00-20
"Toshiba 1TB 5400RPM 8MB 12,5MM SATA",207,Toshiba,MK1059GSM,1 TB,HDD,5400 RPM,SATA III Gb/s,8 MB,"2.5""",https://amazon.com/dp/B0047EB4XW?tag=pcbuilder00-20
"Western Digital WD AV-25 320 GB AV Hard Drive: 2.5 Inch, 5400 RPM, SATA II, 16 MB Cache",26.10,Western Digital,WD3200BUCT,320 GB,HDD,5400 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B005EV1SRO?tag=pcbuilder00-20
Western Digital 300GB Sata HDD 3 Gb/s 10KRPM,/A,Western Digital,WD3000BLHX,300 GB,HDD,10000 RPM,SATA III Gb/s,32 MB,"2.5""",https://amazon.com/dp/B005GM8TT6?tag=pcbuilder00-20
OCZ 512GB Vertex 4 Industry's Highest I/O Performance Up to 120K IOPS SATA 6.0 GB/s 2.5-Inch Solid State Drive,280 (Used),OCZ,Vertex 4,512 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B008MIJOTK?tag=pcbuilder00-20
Seagate Momentus XT 500 GB 2.5 Inch Solid State Hybrid Drive,69.99,Seagate,ST95005620AS,500 GB,HDD,7200 RPM,SATA III Gb/s,32 MB,"2.5""",https://amazon.com/dp/B003NSBF32?tag=pcbuilder00-20
Kingston Digital 240 GB SSDNow KC100 SSD SATA 3 2.5-Inch Solid-State Drive,98.27,Kingston,KC100,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B005N6XBQG?tag=pcbuilder00-20
Intel Solid-State Drive DC S3500 Series 120GB 135 MB/s,271.77,Intel,S3500,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00CT98DBI?tag=pcbuilder00-20
Transcend 256GB MLC SATA III 6Gb/s 2.5-Inch Solid State Drive 370,/A,Transcend,SSD370,256 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00K9HID9Y?tag=pcbuilder00-20
"SAMSUNG Data Center 2.5"" 240GB SATA III PM863, Enterprise SSD",109,Samsung,PM863,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B011DA1NCY?tag=pcbuilder00-20
PNY 240GB CS1111 Internal 2.5 inch SATA III Value Solid State Drive,219,PNY,CS1111,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00TIJMF84?tag=pcbuilder00-20
ADATA SX930 120GB 2.5 Inch SATA III Extrem Performance Read up to 560MB/s Gaming Solid State Drive,260.80,ADATA,SX930,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B012ASDG8C?tag=pcbuilder00-20
Toshiba Q300 Pro 128GB 2.5-Inch SATA 3.0 Internal SSD,/A,Toshiba,Q300,128 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B013XFRWPE?tag=pcbuilder00-20
Toshiba 1TB Mobile 2.5 Inch SATA 5400rpm Internal Hard Drive,/A,Toshiba,HDWJ110XZSTA,1 TB,HDD,5400 RPM,SATA III Gb/s,8 MB,"2.5""",https://amazon.com/dp/B013JPLM68?tag=pcbuilder00-20
Kingston UV500 Desktop/Notebook Upgrade Kit - Solid State Drive - Encrypted - 1.92 TB - Internal - 2.5 (in 3.5 Carrier) - SATA 6GB/S - 256-Bit AES,845,Kingston,UV500,1.92 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07D79MPM3?tag=pcbuilder00-20
Seagate - Seagate Exos X10,324,Seagate,X10,8 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B079L63TJX?tag=pcbuilder00-20
Disque Dur SSD Apacer AST280 240Go - SATA M.2 Type 2280,64.79,Apacer,AST280,240 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B073QTDFB6?tag=pcbuilder00-20
Seagate Enterprise Capacity 3.5 | 8TB 7200 RPM SAS 12Gb/s 256MB Cache | 512e | Internal Hard Disk Drive,159.99,Seagate,ST8000NM0075,8 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B014UYHJWS?tag=pcbuilder00-20
VisionTek 250GB PRO HXS 7mm 2.5 Inch SATA III Internal Solid State Drive with 3D TLC NAND Technology for Desktop Computers,63.38,VisionTek,901309,250 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B081SM9XVH?tag=pcbuilder00-20
"HGST Ultrastar 0B25168 1.2TB 10K RPM SAS 6Gb/s 2.5"" SFF 64MB Cache Internal Enterprise HDD",83.73,Hitachi,HUC101212CSS600,1.2 TB,HDD,10000 RPM,SATA 6 Gb/s,64 MB,"2.5""",https://amazon.com/dp/B00CM3THN4?tag=pcbuilder00-20
Seagate 1TB Constellation SAS 6Gb/s 64MB Cache 2.5-Inch Internal Bare Drive,44.45,Seagate,8W8081,1 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"2.5""",https://amazon.com/dp/B00512JC5G?tag=pcbuilder00-20
Seagate Cheetah 15K.7 600 GB 15000RPM SAS 6 Gb/s 16MB Cache 3.5 Inch Internal Bare Drive,72,Seagate,Cheetah 15K.7,600 GB,HDD,15000 RPM,SATA 6 Gb/s,16 MB,"3.5""",https://amazon.com/dp/B002P4J3YI?tag=pcbuilder00-20
"Seagate Enterprise Performance 600 GB 2.5"" 15000RPM Internal Hard Drive",179.95,Seagate,ST600MP0006,600 GB,HDD,15000 RPM,SATA 12 Gb/s,256 MB,"2.5""",https://amazon.com/dp/B01M8LLNR2?tag=pcbuilder00-20
"Western Digital RE3 3.5-inch Enterprise SATA Hard Drive (500 GB, 1.2 million hours MTBF, 16 MB Cache, 7200 RPM)",39.99,Western Digital,WD5002ABYS,500 GB,HDD,7200 RPM,SATA 6 Gb/s,16 MB,"3.5""",https://amazon.com/dp/B001EMZPD0?tag=pcbuilder00-20
Intel DC S3610 Series Solid State Drive - Internal,337,Intel,S3610,800 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00TIKZXQO?tag=pcbuilder00-20
VisionTek PRO 1 TB Internal Solid State Drive - PCI Express - M.2 2280 - TAA Compliant,/A,VisionTek,901174,1 TB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07DHCV9G1?tag=pcbuilder00-20
"VisionTek 512GB PRO XPN M.2 NVMe SSD Internal Solid State Drive with 3D NAND Technology for Desktop Computers, Laptops and Mac Systems",111.14,VisionTek,901306,512 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B081SN1KZX?tag=pcbuilder00-20
VisionTek 2TB PRO HXS 7mm 2.5 Inch SATA III Internal Solid State Drive with 3D TLC NAND Technology for Desktop Computers,246.30,VisionTek,901312,2 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B081SLS94L?tag=pcbuilder00-20
Western Digital 160 GB AV-GP SATA 3 Gb/s Intellipower 8 MB Cache Bulk/OEM AV Hard Drive,/A,Western Digital,WD1600AVVS,160 GB,HDD,5400 RPM,SATA III Gb/s,8 MB,"3.5""",https://amazon.com/dp/B001VKY8GK?tag=pcbuilder00-20
Seagate 320GB 2.inch Notebook 7200rpm SATA 16MB Buffer -Momentus,39.95,Seagate,ST320LT023,320 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B005CTCHOQ?tag=pcbuilder00-20
"VisionTek 500GB PRO XMN M.2 NVMe Internal Solid State Drive with 3D NAND Technology for Desktop Computers, Laptops and Mac Systems",45.50,VisionTek,901303,500 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B081SMY64Z?tag=pcbuilder00-20
"Seagate Constellation.2 1 TB 2.5"" 7200RPM Internal Hard Drive",/A,Seagate,ST91000641NS,1 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"2.5""",https://amazon.com/dp/B0075WBTWO?tag=pcbuilder00-20
Intel 330 Series 2.5-Inch 240 GB SATA 6 Gb/s Solid-State Drive,219,Intel,SSDSC2CT240A4K5,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B009SIJ7G8?tag=pcbuilder00-20
Western Digital WD 320 GB 2.5-Inch Laptop Mainstream,42.99 (Used),Western Digital,WDBMYH3200ANC-NRSN,320 GB,HDD,5400 RPM,SATA III Gb/s,8 MB,"2.5""",https://amazon.com/dp/B00D8X0IE4?tag=pcbuilder00-20
Seagate Nytro 1000 SATA 480GB SSD 2.5 Inches,/A,Seagate,XA480ME10083,480 GB,HDD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07GLK4HW1?tag=pcbuilder00-20
Lenovo 2.5 5300 960GB MS SATA SSD,606.13,Lenovo,4XB7A17089,960 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B083Y67HKH?tag=pcbuilder00-20
VisionTek 120GB PRO HXS 7mm 2.5 Inch SATA III Internal Solid State Drive with 3D TLC NAND Technology for Desktop Computers,36.87,VisionTek,901295,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B081SMMS7T?tag=pcbuilder00-20
Apacer Disque Dur SSD AS2280P4 240Go - M.2 NVME Type 2280,/A,Apacer,AP240GAS2280P4-1,240 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07QSPXZD4?tag=pcbuilder00-20
Western Digital 750 GB Caviar Green SATA 3 Gb/s Intellipower 32 MB Cache Bulk/OEM Desktop Hard Drive,198.95,Western Digital,WD7500AADS,750 GB,HDD,5400 RPM,SATA III Gb/s,32 MB,"3.5""",https://amazon.com/dp/B002DW97M0?tag=pcbuilder00-20
Western Digital 160 GB Scorpio Black SATA 7200 RPM 16 MB Cache Bulk/OEM Notebook Hard Drive With Drop Sensor,70.69,Western Digital,WD1600BJKT,160 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B001FBL1K6?tag=pcbuilder00-20
Western Digital 640 GB 5400rpm SATA2 8 MB 2.5-Inch Notebook Hard Drive,142.50,Western Digital,WD6400BEVT,640 GB,HDD,5400 RPM,SATA III Gb/s,8 MB,"2.5""",https://amazon.com/dp/B002QAXZZY?tag=pcbuilder00-20
Intel 2.5-Inch 160 GB X25-M Mainstream SATA II MLC Solid State Drive OEM,199,Intel,SSDSA2MH160G1,160 GB,SSD,,SATA III Gb/s,,"2.5""",https://amazon.com/dp/B004IG7W1M?tag=pcbuilder00-20
Kingston SSDNow V+100E 128GB SATA II 3GB/s 2.5 Inch Solid State Drive with 128 AES Encryption,/A,Kingston,SVP100ES2/128G,128 GB,SSD,,SATA III Gb/s,,"2.5""",https://amazon.com/dp/B00461E7KI?tag=pcbuilder00-20
Intel X25-V 40 GB Solid State Drive with Internal SATA and Power Cables,59.99,Intel,X25-V,40 GB,SSD,,SATA III Gb/s,,"2.5""",https://amazon.com/dp/B0042YY2FE?tag=pcbuilder00-20
Intel 320 Series 160 GB SATA 3.0 Gb-s 2.5-Inch Solid-State Drive,149,Intel,SSDSA2CW160G3k5,160 GB,SSD,,SATA III Gb/s,,"2.5""",https://amazon.com/dp/B004UG3YU8?tag=pcbuilder00-20
Intel 320 Series 300GB,759.24,Intel,SSDSA2CW300G310,300 GB,SSD,,SATA III Gb/s,,"2.5""",https://amazon.com/dp/B004UNB282?tag=pcbuilder00-20
SEAGATE Momentus 7200.4 320GB 7200 RPM 16MB cache SATA 3.0Gb/s 2.5 internal notebook hard drive,57.99,Seagate,Momentus 7200.4,320 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B002AKF0P8?tag=pcbuilder00-20
"Toshiba MK3265GSX 320GB SATA/300 5400RPM 8MB 2.5"" Hard Drive",119.95,Toshiba,MK3265GSX,320 GB,HDD,5400 RPM,SATA III Gb/s,8 MB,"2.5""",https://amazon.com/dp/B003ZTIANC?tag=pcbuilder00-20
Toshiba 640GB 7200rpm SATA2 16MB Notebook Hard Drive (2.5 inch),51.14,Toshiba,MK6461GSYN,640 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B004Y4SDDE?tag=pcbuilder00-20
Samsung 830 - Series 256 GB 2.5 Inch SATA III MLC Internal SSD Laptop Kit with Norton Ghost 15,/A,Samsung,MZ-7PC256N/AM,256 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B005T3GPXY?tag=pcbuilder00-20
Seagate 320gb 7200rpm 16mb Cache Sata,90,Seagate,ST320LT009,320 GB,HDD,7200 RPM,SATA III Gb/s,16 MB,"2.5""",https://amazon.com/dp/B0075WA3HQ?tag=pcbuilder00-20
Western Digital WD 250 GB WD RE SATA III 7200 RPM 64 MB Cache Bulk/OEM Enterprise Hard Drive,32,Western Digital,WD2503ABYZ,250 GB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B00D38V0VO?tag=pcbuilder00-20
"Lenovo 3 TB 3.5"" Internal Hard Drive 0A89478",120.75,Lenovo,0A89478,3 TB,HDD,7200 RPM,SATA 6 Gb/s,32 MB,"3.5""",https://amazon.com/dp/B008TYBZGW?tag=pcbuilder00-20
Seagate Constellation ES 2 TB 7200RPM 6 Gb/s SAS 64MB Cache 3.5 Inch Internal Bare Drive,56,Seagate,ST2000NM0001,2 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B0056JZ596?tag=pcbuilder00-20
"Seagate 500 GB 2.5"" Internal Hard Drive",72,Seagate,FBA_ST500LT032,500 GB,HDD,5400 RPM,SATA 6 Gb/s,16 MB,"2.5""",https://amazon.com/dp/B00EFMO0JG?tag=pcbuilder00-20
HGST Travelstar 2.5-Inch 7mm 500GB 5400RPM SATA II 8MB Cache Internal Hard Drive (0J11285) [Amazon Frustration-Free Packaging],29.49,HGST,Z5K500,500 GB,HDD,5400 RPM,SATA III Gb/s,8 MB,"2.5""",https://amazon.com/dp/B005GKXTCK?tag=pcbuilder00-20
"HGST Ultrastar He6 6TB 3.5"" SATA 7200 RPM Enterprise Internal Hard Drive with 64Mb Cache 64 MB Cache 3.5-Inch Internal Bare or OEM Drives",149,HGST,0F18335,6 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B00GTD3AR2?tag=pcbuilder00-20
Toshiba P300 500GB Desktop 3.5 Inch SATA 6Gb/s 7200rpm Internal Hard Drive,/A,Toshiba,P300,500 GB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B013JPKUR0?tag=pcbuilder00-20
Toshiba L200 500GB Mobile 2.5 Inch SATA 5400rpm Internal Hard Drive,168.68 (Used),Toshiba,L200,500 GB,HDD,5400 RPM,SATA III Gb/s,8 MB,"2.5""",https://amazon.com/dp/B013JPKYNK?tag=pcbuilder00-20
MyDigitalSSD 120GB (128GB) BP5e 80mm SATA III 6G M.2 2280 NGFF SSD Solid State Drive,/A,MyDigitalSSD,Bullet Proof 5 Eco,120 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B01BO4G8II?tag=pcbuilder00-20
"Seagate Barracuda ES - Hard Drive - 250 GB - Internal - 3.5"" - S",39.99,Seagate,ST3250620NS,250 GB,SSD,7200 RPM,SATA 6 Gb/s,16 MB,"3.5""",https://amazon.com/dp/B001IKKCMM?tag=pcbuilder00-20
"HGST Ultrastar He10 8 TB 3.5"" Internal Hard Drive",298.68 (Used),HGST,Ultrastar He10,8 TB,HDD,7200 RPM,SATA 12 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B01FRBKAEC?tag=pcbuilder00-20
VisionTek Products PRO 1TB 2280 M.2 NGFF SATA III Internal SSD,285.49,VisionTek,901187,1 TB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07CTT75QD?tag=pcbuilder00-20
Seagate 1TB Enterprise Capacity HDD 2.5-Inch Internal Hard Drive,85,Seagate,ST1000NX0423,1 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"2.5""",https://amazon.com/dp/B0150P3JIE?tag=pcbuilder00-20
"Western Digital WD Re 2 sata_6_0_gb 128 MB Cache 3.5"" Internal Bare or OEM Drives",166.20,Western Digital,WD2004FBYZ,2 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B015LOV92C?tag=pcbuilder00-20
Disque Dur SSD Apacer AST280 480Go - SATA M.2 Type 2280,/A,Apacer,AST280,480 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07NY6LYKK?tag=pcbuilder00-20
